 X Y
6 17.429445 41.266598
5 67.055405 -12.275494
10 -3.6265256 68.43126
4 14.626187 45.100266
32 -26.32148 37.569317
7 9.385465 52.422543
35 8.759176 53.362858
114 -1.7977003 69.554955
77 39.92418 21.393282
173 21.754457 64.17633
258 29.052462 -18.166838
268 -25.5473 36.150543
219 41.927296 20.90955
198 18.311821 39.97118
1 9.245294 52.631355
664 20.97667 36.06522
937 16.69889 42.311256
384 65.48535 30.58924
521 -46.020164 25.067719
280 15.492071 43.95404
687 16.698528 42.311607
1386 9.63078 52.057507
537 15.029357 44.569145
1317 10.918757 50.161537
1566 11.398456 49.47239
149 22.894804 33.38288
2034 39.924934 21.393051
2455 84.33935 3.9623528
1383 11.176301 49.789524
425 23.3985 32.71522
1810 8.858391 53.216213
2028 9.015536 52.979527
1363 13.637559 46.401775
1018 9.507448 52.242363
1832 11.272484 49.648514
1624 -19.792067 73.33834
550 17.706656 40.86156
1331 66.44896 10.175474
2642 8.859024 53.21525
856 57.654842 18.53348
2188 46.85022 20.175114
2187 35.67827 22.850334
1752 39.922535 21.39356
3810 39.003426 49.316517
3129 9.5025 52.249737
2244 44.315697 20.505114
135 10.942294 50.127625
13 9.51222 52.235012
2067 9.592594 52.11612
1318 21.337685 35.54646
4385 16.698784 42.311478
2524 24.695114 31.099623
3988 9.636823 52.0488
1352 9.818927 51.7764
96 20.977085 36.064632
2 18.018633 40.402073
21 34.205486 23.53628
20 39.056625 49.387882
61 -43.187717 23.638966
54 41.518257 3.6039667
132 25.660849 29.949562
3 46.849205 20.174833
142 -44.336693 24.15595
146 65.818756 9.867837
110 74.83246 5.2162437
166 84.42486 4.3134265
156 -13.555492 55.23223
39 35.678318 22.85033
60 13.740675 46.265064
62 18.018587 40.40214
455 35.43031 44.567978
401 -5.0965943 52.749565
632 41.92906 20.90931
658 -29.803621 32.502457
516 6.21964 32.961998
651 36.031322 45.93681
167 84.10073 2.9326198
758 -15.71481 -4.7206264
744 20.058237 5.152439
634 23.400654 32.712414
732 22.11795 34.442993
523 15.029903 44.569153
779 -24.62079 72.239204
654 65.960945 9.936342
832 11.873771 48.79853
202 10.768991 50.38059
204 25.661488 29.951279
223 -42.530155 23.30596
245 -42.76843 23.33002
178 21.6821 35.056454
23 32.702785 24.298748
3397 -1.2357286 70.373764
41 11.501618 49.324207
4590 51.091316 1.0680879
115 20.977493 36.064045
5606 74.832054 5.215156
3722 11.811471 48.886383
5929 -7.6752357 -59.61853
15 61.684715 16.918879
34 67.48273 -12.934178
17 32.699814 24.300587
31 -8.020472 -62.073437
8 67.035416 -13.274249
47 -8.020472 -62.073437
56 41.15359 3.7197032
71 -16.25712 -3.8088365
74 -16.91891 -4.2311063
78 38.412163 48.713135
68 -8.238071 31.608574
81 -1.6790944 69.33516
101 0.18702301 71.53257
119 21.491621 64.64765
100 -24.128626 72.356224
76 66.41611 -13.131476
111 -36.0835 48.163692
138 -6.923258 -60.299427
145 -16.311485 -4.8699574
165 -8.020472 -62.073437
75 -23.934547 72.40079
19 -23.417366 72.522964
225 -25.546108 36.150158
29 20.5818 36.63839
227 -26.187399 37.465866
104 15.698686 43.677113
33 26.870186 28.665874
64 12.487577 47.94175
247 -16.760538 -4.8417444
234 15.094119 -36.79034
251 -3.024044 68.90804
260 44.982258 -36.055317
261 -4.211251 52.828125
109 44.103107 2.9966552
177 -47.168427 25.709166
271 -8.020472 -62.073437
274 39.9182 21.395103
141 44.315056 20.505096
296 -31.589201 37.717052
180 36.11042 45.743042
311 -16.090921 -4.0543094
312 65.80072 30.172373
308 64.8673 31.382532
304 11.039142 49.984463
139 -58.24554 55.702938
324 -5.4915466 33.408287
356 -58.245354 55.70292
51 29.720585 26.218086
399 57.653484 18.533968
438 -8.020472 -62.073437
442 -16.938456 -4.0439243
144 19.875727 37.65763
320 -26.322088 37.569588
464 6.219884 32.962044
431 31.175163 -18.353914
486 7.2977414 20.781174
416 66.02991 9.969912
505 -15.676527 -4.526011
421 -22.399899 44.178734
80 49.980762 19.868576
511 -16.939228 -3.949661
494 -1.2036388 70.59085
534 -47.713505 26.050364
563 36.031322 45.93681
567 14.678096 -34.147247
569 -58.327915 8.975383
215 16.698975 42.31113
579 74.82919 5.2173877
484 35.67978 22.849874
266 49.980526 19.868435
630 32.704628 24.297543
677 31.175163 -18.353914
695 31.175163 -18.353914
672 14.819372 -34.14021
773 -8.020472 -62.073437
647 31.215921 25.19456
396 -21.059599 73.05345
353 12.185476 48.356167
9 -16.899303 -4.7832446
545 12.547863 47.86055
626 1.9950467 74.99401
1134 15.595436 -34.803658
197 42.29246 -35.99944
270 18.817247 39.223953
539 41.92811 20.910011
635 25.659935 29.95275
522 23.885277 32.096695
882 15.029843 44.56924
861 0.168836 71.78111
1369 67.035416 -13.274249
1010 47.62674 35.41801
309 16.902922 42.026047
1389 13.585896 -34.614292
1162 14.16307 45.710354
1376 -23.60781 72.47892
1447 -60.67587 49.374565
540 18.817133 39.22412
112 36.7155 22.435802
1541 39.232773 49.551357
1557 66.303185 10.103632
134 64.761154 31.518364
350 34.205254 23.53629
1353 64.11873 32.301895
592 16.902945 42.026012
1689 46.849327 20.175016
1690 26.864428 28.671946
57 12.677466 47.684544
1555 14.626201 45.100246
36 23.40059 32.71268
1727 -5.4916124 33.408737
1487 24.697662 31.096592
120 42.911484 3.493019
1749 -16.067873 -4.083936
1771 12.610469 47.775757
1693 15.698987 43.676704
1677 35.677628 22.850536
1245 23.88525 32.096703
1281 16.257584 42.92054
1753 64.59975 31.717987
1802 14.039393 45.867363
823 46.849277 20.174753
1714 20.977655 36.06381
1316 16.698826 42.31137
1860 15.029371 44.56902
1053 19.073133 38.84587
1201 13.090299 47.132244
1366 18.816994 39.224327
1944 -8.614835 32.82334
1984 -12.34361 54.355263
1656 20.582472 36.637444
1921 21.33741 35.54686
1701 74.826164 5.2209897
1899 10.54783 50.7001
2046 41.86233 3.5453284
446 41.92718 20.909922
905 9.031488 52.955875
2123 -2.5928104 69.25093
2124 49.975784 19.86914
2142 61.5559 17.058167
2173 14.163017 45.71042
1967 18.57423 39.584698
2096 -14.023662 55.496967
2322 26.86203 28.674198
729 16.698975 42.311214
2341 -60.54692 45.58243
1585 12.251903 48.267696
171 17.4294 41.266666
143 39.923836 21.39321
492 16.69893 42.311195
2410 -5.4919696 33.40827
2471 67.37687 -12.581199
241 -12.084647 53.693497
2711 -4.211251 52.828125
2214 21.338032 35.54595
2484 54.08782 19.378372
2176 16.500956 42.58963
2731 -1.3261943 69.4748
2761 -57.00131 8.9692135
125 -3.4702914 68.53865
1815 18.574282 39.584625
1217 12.677432 47.684593
3417 47.22637 35.77463
330 36.726257 46.44575
1620 22.117163 34.444073
3366 17.429426 41.26663
3719 13.090303 47.132236
3830 50.387554 0.66202855
2303 29.718777 26.220192
1508 28.344324 27.306015
192 39.92916 21.391685
2045 9.684242 51.979656
2125 8.860196 53.212975
1565 10.621759 50.595837
4458 20.582514 36.637474
3527 21.682068 35.056446
159 35.679504 22.849964
1953 9.597881 52.108166
2388 9.527187 52.21353
2266 10.227666 51.173706
2835 13.935986 46.008617
2296 9.537056 52.198753
2252 21.681957 35.056675
2175 44.103104 2.9966552
481 17.706598 40.861637
4559 10.966235 50.092976
4172 9.117137 52.826744
703 13.788488 -35.36376
4857 -21.035501 73.0611
5418 -16.775806 -4.837017
4291 9.725683 51.916725
3040 22.11737 34.443798
3319 49.975685 19.86918
1396 9.80539 51.7982
3919 32.697224 24.30198
1615 12.429899 48.020103
4921 26.868683 28.667107
5506 23.398306 32.715496
3452 14.772035 44.90887
5524 -3.2358744 68.72029
1939 46.849506 20.174988
3878 13.637557 46.401775
2658 20.183285 37.209476
5636 45.013832 2.2031524
3572 22.896437 33.3806
5482 35.676456 22.850554
5515 -3.8301334 68.27899
5689 -29.804064 32.501163
892 51.090965 1.0681684
5508 25.659775 29.953215
1052 17.429483 41.26655
5925 -6.5182533 -60.520535
4205 25.660816 29.952148
5955 -13.816452 55.372967
97 10.662098 17.195074
70 -31.589226 37.716816
239 -47.229294 25.744595
297 42.545788 -34.84179
93 65.53374 9.729167
1453 -23.807491 72.43081
2141 26.860373 28.675678
26 -21.18449 73.025345
66 -16.533247 -3.5826755
72 -22.877716 72.64462
87 31.175163 -18.353914
282 -22.366718 44.230377
352 31.175163 -18.353914
466 31.175163 -18.353914
423 53.13355 -4.668533
319 1.9951534 74.993835
45 65.59415 30.447866
538 1.1431739 73.82373
1246 -16.558252 -3.5739288
908 17.158152 41.662983
1257 54.092216 19.3959
713 -16.253912 -4.866934
935 44.738293 2.9171693
1664 -39.431866 46.25177
2145 31.175163 -18.353914
1992 42.29246 -35.99944
2198 12.610481 47.775738
2344 32.699013 24.30103
189 42.71095 -34.53177
2470 0.52068436 40.758503
2998 31.175163 -18.353914
3204 -43.013878 23.505547
3445 23.883945 32.0979
3699 18.31265 39.970432
5014 42.444927 -34.947193
4852 37.222233 47.04956
5498 -16.876785 -4.8070755
217 22.657578 64.48681
269 -30.948715 35.82469
397 46.793625 35.654106
1220 31.175163 -18.353914
439 53.13355 -4.668533
361 12.677464 47.68455
16 -15.690182 -4.4857535
200 -0.043268904 72.37621
518 76.1472 -37.57258
594 27.054327 9.183233
605 22.661093 65.56386
612 -16.739805 -3.594937
619 -8.020472 -62.073437
620 -56.284344 8.486167
593 20.497107 5.490458
491 49.990128 19.86828
741 31.175163 -18.353914
742 57.652363 18.534653
751 31.175163 -18.353914
765 -16.098234 -4.0438952
862 -47.300568 25.787579
775 15.492029 43.954094
699 31.175163 -18.353914
887 -16.716135 -3.5851119
199 -29.803339 32.50246
1222 -24.196362 72.33989
1223 -8.020472 -62.073437
1226 46.70222 35.043694
621 -1.2820547 69.97107
468 15.3180685 44.186058
1533 -8.083087 -59.994167
1537 -16.739662 -3.594871
1794 10.575806 18.323893
1833 43.808235 -34.31835
493 46.849525 20.175093
1744 13.839195 46.13659
1902 29.13741 -17.644314
1909 29.125086 -18.749283
1910 -16.320076 -4.8699107
1923 47.165867 34.70057
1937 -25.016706 72.14644
1986 -25.547523 36.150623
1990 -2.1731696 69.17781
3598 12.610479 47.77574
2006 0.5213856 40.759666
2011 29.344698 -17.184555
2030 57.655514 18.53325
2014 -31.811049 38.285152
591 9.114899 18.08512
2071 -8.614509 32.82282
2108 -8.020472 -62.073437
616 51.092007 1.0680207
1412 46.849403 20.174934
1394 66.32021 10.112011
1593 -6.454023 34.23065
2158 61.52339 17.090948
546 9.833879 51.755676
2016 -30.948961 35.82471
1204 74.83108 5.2158995
1754 61.529694 17.084919
2207 -16.311483 -4.8699565
1044 83.97571 2.3286657
2063 16.699175 42.31141
1998 61.549183 17.062996
2229 46.849293 20.174822
2261 -30.948986 35.824886
2048 46.70222 35.043694
1788 54.08698 19.37622
2224 6.219884 32.962044
1991 46.849632 20.175102
1527 -36.08353 48.165768
2221 -39.976444 45.91499
1922 25.660582 29.95242
342 54.08773 19.38224
1757 64.42192 31.93982
2411 47.581757 34.98174
2419 84.26185 3.6329336
1890 46.84962 20.175114
710 32.70495 24.297428
2555 -8.020472 -62.073437
2557 -15.666958 -4.567942
2552 54.085823 19.369555
2566 64.307045 32.074398
1675 17.158445 41.662586
2589 -30.949009 35.82459
2615 -16.313166 -4.8698273
1886 52.05116 -2.975534
1916 34.2054 23.536327
2194 13.637557 46.401775
2607 -57.914394 8.162527
2310 36.69173 46.512302
25 11.118133 49.872208
2962 61.494434 17.12314
791 47.163483 34.698906
606 61.68235 16.921434
2498 19.876066 37.657146
3029 36.847446 47.93712
2784 41.92939 20.909561
3434 -16.163092 -3.965042
2961 66.44895 10.175474
3453 -9.689418 31.824392
2392 49.975876 19.869127
3219 19.073465 38.84552
3483 31.175163 -18.353914
3472 31.175163 -18.353914
1629 16.90295 42.026005
3624 -13.088009 54.922016
160 52.38901 -2.018344
3628 27.05433 9.183234
2897 12.610474 47.77575
3923 36.684795 46.637142
3642 21.681614 35.056526
1334 9.566994 52.154156
4124 -8.6146345 32.82335
3120 0.5211694 40.75975
3465 18.816967 39.224373
910 15.094119 -36.79034
2512 -56.33744 9.277805
3649 11.146231 49.83263
2839 37.196857 47.830223
4236 54.09242 19.396
4264 44.982258 -36.055317
3405 6.219884 32.962044
3185 -4.1298714 68.05846
2618 15.094119 -36.79034
4301 35.679558 22.849638
4238 84.26185 3.6329336
4360 61.52293 17.091831
3545 24.694931 31.099848
4515 18.574276 39.58463
4384 15.094119 -36.79034
705 61.545918 17.067423
5718 31.175163 -18.353914
5913 -16.271612 -4.869475
4532 14.902252 44.736637
5917 42.479446 3.1661057
5972 -16.769016 -3.6155586
5973 -16.530325 -3.5837884
5984 -15.752298 -4.761349
4608 37.59809 48.148346
1128 51.091602 1.0681877
53 31.175163 -18.353914
55 -15.717013 -4.4211926
28 -47.229237 25.744583
89 -8.020472 -62.073437
88 -7.8501806 52.571823
122 -8.020472 -62.073437
116 -15.687008 -4.692587
133 31.175163 -18.353914
137 -8.020472 -62.073437
161 42.76687 -34.55304
175 -16.7908 -3.644614
184 36.707138 22.438976
185 31.175163 -18.353914
188 31.175163 -18.353914
195 -15.671359 -4.54305
207 52.389427 -2.0183635
210 -16.943306 -4.0380917
206 66.150276 10.029159
212 41.976562 3.439989
179 51.842 -2.8161614
232 -16.94294 -4.287605
235 84.50704 4.64669
222 66.06408 29.802673
153 -39.43244 46.251884
243 65.32312 30.796144
240 -58.245792 55.70305
285 -36.082836 48.164795
294 -16.125448 -4.0092516
272 -21.060093 73.05353
254 -31.589281 37.716225
314 31.175163 -18.353914
249 49.98157 19.868559
108 -36.081535 48.164707
228 74.82054 5.234626
326 -15.717096 -4.421046
354 -16.098228 -4.0439014
310 -2.5925043 69.24898
368 -16.098236 -4.043894
358 -8.020472 -62.073437
393 -21.370956 72.98248
345 10.575806 18.323893
155 43.326244 -35.180134
293 43.87467 2.7457066
410 51.84218 -2.8161466
418 84.59436 4.974527
429 -16.779566 -3.6243114
365 15.094119 -36.79034
449 6.219884 32.962044
460 6.21964 32.961998
473 -15.932461 -4.842103
424 -56.33744 9.277805
378 36.6848 46.637127
440 31.175163 -18.353914
489 35.32874 44.370415
447 -56.33744 9.277805
383 54.097748 19.415005
472 74.82716 5.219499
498 44.982258 -36.055317
386 -44.654495 24.21155
203 36.079803 45.75748
548 47.05324 35.775692
480 66.07383 9.991877
547 61.588768 17.02211
322 -23.76932 72.4414
584 -16.270145 -4.866516
551 -8.020472 -62.073437
405 46.850178 20.175022
113 20.97692 36.06487
643 20.497187 5.4905753
655 15.094119 -36.79034
656 44.982258 -36.055317
419 -2.7170916 52.95584
650 36.057194 45.784725
193 -8.020472 -62.073437
351 44.982258 -36.055317
666 22.979662 64.76402
639 31.175163 -18.353914
709 21.491621 64.64765
725 35.67993 22.849104
733 35.513214 44.742016
640 -8.300275 53.067894
878 -16.561647 -3.5724158
753 20.058237 5.152439
792 44.982258 -36.055317
906 36.684757 46.637157
948 22.661093 65.56386
129 -31.589153 37.71711
963 -22.366707 44.23038
964 -16.769358 -4.8398767
417 36.0572 45.78472
838 38.59777 48.938343
931 -38.123875 47.49347
1041 -17.167542 -2.5402236
881 -16.262619 -4.8664794
533 65.80849 9.862416
945 -8.020472 -62.073437
209 29.727768 26.213108
1166 9.128985 17.36043
1098 65.44152 9.686473
1011 44.982258 -36.055317
1335 -16.948545 -4.6442866
1268 74.828125 5.2185187
152 -45.50345 24.585173
283 74.825645 5.2219863
1413 0.521392 40.75967
1428 -16.258394 -4.866778
1034 -47.11798 25.679596
465 84.07708 2.817918
1525 -14.451948 55.77226
1596 43.370556 2.5982
1665 15.094119 -36.79034
1702 -60.67587 49.374565
1686 -46.593052 25.368002
1858 -16.91956 -4.2466364
1982 29.668121 -16.807133
2044 -22.219461 72.79001
2097 -36.082462 48.165394
2205 35.19702 44.105343
2319 44.982258 -36.055317
2404 14.772086 44.90958
2378 16.257475 42.920692
2397 19.073181 38.845932
2533 -16.603453 -3.5699494
2231 -23.987387 72.38957
3050 27.054333 9.183298
2174 57.660873 18.531952
2943 83.987785 2.3918412
3161 36.70343 22.440418
2291 42.940353 3.1920161
4946 -16.776785 -4.836696
5428 -54.852028 8.963136
5429 -6.511351 -60.486336
5432 47.60596 35.02567
284 35.43053 44.568295
257 12.000032 48.618813
467 19.937012 6.0974317
490 15.094119 -36.79034
506 22.310812 64.77133
618 -16.098022 -4.0441213
777 65.81877 9.867506
801 35.43031 44.567978
4244 65.38559 30.71985
2877 14.772108 44.90878
375 9.821545 17.61044
1277 -21.015078 73.0627
1859 65.946724 29.97172
3744 11.684718 49.06502
3784 31.175163 -18.353914
3756 24.698265 31.09581
3757 26.876268 28.659489
3759 28.349602 27.301754
3760 25.659098 29.95359
2840 0.18702301 71.53257
69 0.12037649 71.977905
263 -8.020472 -62.073437
