Cluster	Id
-1	6
0	5
-1	10
-1	4
-1	32
-1	7
-1	35
-1	114
-1	77
1	173
2	258
3	268
-1	219
-1	198
-1	1
-1	664
-1	937
-1	384
-1	521
-1	280
-1	687
-1	1386
-1	537
-1	1317
-1	1566
-1	149
-1	2034
-1	2455
-1	1383
-1	425
-1	1810
-1	2028
-1	1363
-1	1018
-1	1832
-1	1624
-1	550
-1	1331
-1	2642
-1	856
-1	2188
-1	2187
-1	1752
-1	3810
-1	3129
-1	2244
-1	135
-1	13
-1	2067
-1	1318
-1	4385
-1	2524
-1	3988
-1	1352
-1	96
-1	2
-1	21
-1	20
-1	61
-1	54
-1	132
-1	3
-1	142
-1	146
-1	110
-1	166
-1	156
-1	39
-1	60
-1	62
-1	455
4	401
-1	632
5	658
6	516
-1	651
-1	167
7	758
8	744
-1	634
-1	732
-1	523
-1	779
-1	654
-1	832
-1	202
-1	204
-1	223
-1	245
-1	178
-1	23
-1	3397
-1	41
9	4590
-1	115
-1	5606
-1	3722
10	5929
-1	15
0	34
-1	17
10	31
0	8
10	47
-1	56
7	71
7	74
-1	78
-1	68
-1	81
-1	101
1	119
-1	100
0	76
11	111
10	138
7	145
10	165
-1	75
-1	19
3	225
-1	29
-1	227
-1	104
-1	33
-1	64
7	247
12	234
-1	251
13	260
-1	261
-1	109
-1	177
10	271
-1	274
-1	141
14	296
-1	180
7	311
-1	312
-1	308
-1	304
15	139
16	324
15	356
-1	51
-1	399
10	438
7	442
-1	144
-1	320
6	464
2	431
-1	486
-1	416
7	505
-1	421
-1	80
7	511
-1	494
-1	534
-1	563
12	567
17	569
-1	215
-1	579
-1	484
-1	266
-1	630
2	677
2	695
12	672
10	773
-1	647
-1	396
-1	353
7	9
-1	545
-1	626
12	1134
13	197
-1	270
-1	539
-1	635
-1	522
-1	882
-1	861
0	1369
18	1010
-1	309
12	1389
-1	1162
-1	1376
19	1447
-1	540
-1	112
-1	1541
-1	1557
-1	134
-1	350
-1	1353
-1	592
-1	1689
-1	1690
-1	57
-1	1555
-1	36
16	1727
-1	1487
-1	120
7	1749
-1	1771
-1	1693
-1	1677
-1	1245
-1	1281
-1	1753
-1	1802
-1	823
-1	1714
-1	1316
-1	1860
-1	1053
-1	1201
-1	1366
20	1944
-1	1984
-1	1656
-1	1921
-1	1701
-1	1899
-1	2046
-1	446
-1	905
-1	2123
-1	2124
-1	2142
-1	2173
-1	1967
-1	2096
-1	2322
-1	729
21	2341
-1	1585
-1	171
-1	143
-1	492
16	2410
0	2471
-1	241
-1	2711
-1	2214
-1	2484
-1	2176
-1	2731
17	2761
-1	125
-1	1815
-1	1217
18	3417
-1	330
-1	1620
-1	3366
-1	3719
-1	3830
-1	2303
-1	1508
-1	192
-1	2045
-1	2125
-1	1565
-1	4458
-1	3527
-1	159
-1	1953
-1	2388
-1	2266
-1	2835
-1	2296
-1	2252
-1	2175
-1	481
-1	4559
-1	4172
12	703
-1	4857
7	5418
-1	4291
-1	3040
-1	3319
-1	1396
-1	3919
-1	1615
-1	4921
-1	5506
-1	3452
-1	5524
-1	1939
-1	3878
-1	2658
-1	5636
-1	3572
-1	5482
-1	5515
5	5689
9	892
-1	5508
-1	1052
10	5925
-1	4205
