 X Y
3833861 13.221069 -0.033111017
3126860 -3.8755875 -34.159103
1048585 13.2205515 -0.033110585
5049309 -22.36493 8.632126
5144587 -22.36278 8.633274
5075218 -21.465288 -20.941513
5430420 -22.36278 8.633274
2457613 13.221218 -0.033111338
5240396 -11.993 34.76956
720911 13.221218 -0.033169627
3669924 -37.432377 -10.37738
4587544 13.221194 -0.033111695
3535884 -36.372448 -13.270695
1769497 -22.36278 8.633274
207220 -22.36278 8.633274
1643842 -22.36278 8.633274
4456474 -22.36278 8.633274
5297191 -12.404849 34.680607
5200930 13.221045 -0.033111036
1572891 -22.36278 8.633274
4910575 13.221218 -0.033111367
1474281 -37.08229 -11.36509
4784176 -22.36278 8.633274
229538 -22.36278 8.633274
3116182 -48.182484 11.349833
1703988 -22.36278 8.633274
4275286 -36.715904 -12.374385
5173345 -3.8758788 -34.175835
884790 13.221218 -0.033111338
5488129 -22.36278 8.633274
1179703 13.2210455 -0.033111025
3023510 -36.715866 -12.373965
3801159 13.2210455 -0.03311103
3561923 -22.36278 8.633274
720974 -22.36278 8.633274
4298092 13.220551 -0.03311056
5451961 -40.626606 -3.400221
1704017 -22.36278 8.633274
5240265 -36.858334 -11.994333
2374620 -48.951145 -6.8120456
1736789 13.221193 -0.033111684
2278002 -22.36361 8.632531
3473494 -48.18234 11.349727
2802033 -22.359312 8.63281
297721 -22.36278 8.633274
1712633 -22.36278 8.633274
4938382 -22.36278 8.633274
1686363 -22.36278 8.633274
1281530 13.219933 -0.033103928
5505116 13.2210455 -0.03311101
786229 -22.36278 8.633274
3309664 -22.36278 8.633274
2422996 13.221069 -0.033111032
4727802 -40.626583 -3.399973
327776 -22.36278 8.633274
5432536 -22.36278 8.633274
2324099 -3.8758867 -34.173862
720994 13.221218 -0.03311139
899875 -36.30158 -13.390836
3506276 -22.36278 8.633274
595653 -22.36278 8.633274
5140423 13.2210455 -0.033111032
4423781 -22.36278 8.633274
5316722 13.220559 -0.033110537
3919030 -21.465288 -20.941513
1867877 13.221046 -0.033111
1434989 -3.8667226 -34.218033
3965029 13.221069 -0.033111
2621542 13.22107 -0.033111006
1464420 -3.8667226 -34.218033
4063335 13.219933 -0.033103928
3825128 -36.361958 -13.2421055
2883691 13.221193 -0.03311169
1637124 -21.624083 -21.055426
4817004 -3.8667226 -34.218033
2755985 -21.624083 -21.055426
945630 -21.624083 -21.055426
5352730 13.221218 -0.033111382
1474677 -22.36278 8.633274
3484667 -22.36278 8.633274
5336753 -22.36278 8.633274
786551 13.221069 -0.033111
4833000 -48.181015 11.34957
98423 13.221218 -0.033111338
4808418 -36.305553 -13.386847
3506303 -3.8764906 -34.174603
1251910 -22.362633 8.633599
4567197 13.221218 -0.033169646
3440770 13.221218 -0.03311134
4421707 -22.36278 8.633274
262275 -22.36278 8.633274
5341649 -22.36278 8.633274
3993808 13.221218 -0.03311138
4751494 13.2210455 -0.033111025
1612100 -22.36278 8.633274
2424967 -22.36278 8.633274
4677792 -21.624083 -21.055426
3223738 -3.8667226 -34.218033
5243019 -22.36278 8.633274
4426406 -38.722347 -7.6691747
5476151 13.221218 -0.033111334
5374092 13.221069 -0.033111043
2325255 -22.36278 8.633274
98451 -22.36278 8.633274
4317061 -39.12275 23.404814
403950 -22.36278 8.633274
1147031 13.221218 -0.033169664
4747437 -48.951145 -6.8120456
3014817 13.221069 -0.033111002
3787278 -20.546196 -20.425135
2659491 13.221218 -0.033111326
3473576 13.221194 -0.033111706
5354590 -12.459212 34.64829
4391082 13.221193 -0.033111684
1944941 -22.36278 8.633274
3801261 -48.182484 11.349833
3656873 -22.36278 8.633274
4546425 13.2210455 -0.033111036
4772383 13.221069 -0.033111
2177144 13.221069 -0.033111047
5179534 -12.459212 34.64829
175212 13.2210455 -0.03311103
65713 -22.36278 8.633274
2209493 -36.858334 -11.994333
326725 -22.36278 8.633274
4063411 -22.36278 8.633274
2470634 -2.3058176 41.85232
3703836 -3.8667226 -34.218033
557236 -22.36278 8.633274
912040 -37.435833 -10.368243
780332 13.221218 -0.03311134
852151 -22.36278 8.633274
3363685 -22.36278 8.633274
3803891 -22.36278 8.633274
4915384 -22.36278 8.633274
414933 -37.434433 -10.3680525
1326574 -3.8667226 -34.218033
2523319 -21.475801 -20.947924
1536505 13.221069 -0.03311104
2183333 13.221218 -0.033111393
861127 -39.122993 23.40523
5493564 -48.181164 11.349952
753851 13.218983 -0.02779045
759152 -3.8667226 -34.218033
2457790 -3.8667226 -34.218033
1461888 -22.36278 8.633274
2262144 -12.4043865 34.680893
1810534 13.221218 -0.03311134
4980928 -22.36278 8.633274
2699746 13.221193 -0.033111684
2355413 -21.465288 -20.941513
1638600 -22.36278 8.633274
4519362 -22.36278 8.633274
2946055 -37.431107 -10.376819
360654 -4.847484 -32.160282
3690248 -48.95121 -6.0554476
1077699 13.21993 -0.03310393
108456 -46.60878 9.663095
2588879 -22.36278 8.633274
4866297 -37.432354 -10.3743925
905115 13.221193 -0.03311169
3932366 -22.36278 8.633274
4755337 13.219933 -0.033103928
251581 -3.8667226 -34.218033
1966290 13.221194 -0.033111706
113907 -3.8667226 -34.218033
3506388 13.221218 -0.033111367
3324318 -38.718906 -7.676457
4882645 -30.707956 33.611828
4716309 -22.36278 8.633274
5129898 -38.721107 -7.6718984
5100238 -30.708279 33.612286
557268 13.221193 -0.033111684
1500551 -30.707945 33.611385
2851032 13.221193 -0.033111684
3397736 -12.459212 34.64829
4325593 13.2205515 -0.033110585
133534 -22.36278 8.633274
5013720 -22.36278 8.633274
4387641 -3.8667226 -34.218033
4037484 -3.8667226 -34.218033
3768539 13.221218 -0.033169653
1165388 -22.36278 8.633274
32987 -12.459212 34.64829
2100774 13.221218 -0.03311134
3425315 -22.36866 8.635292
1284191 -39.122993 23.404995
4205095 13.219954 -0.033105172
4996816 13.22107 -0.033111006
2031838 -22.36278 8.633274
5300781 13.221218 -0.033111338
2271174 -22.36278 8.633274
3375327 -22.36278 8.633274
3630911 -22.36278 8.633274
1571266 -48.951332 -6.8127384
5177571 13.221193 -0.033111684
850208 -40.626606 -3.400221
3309796 -22.36278 8.633274
1792113 -22.36278 8.633274
857229 -38.718857 -7.676473
1147116 -22.36278 8.633274
640980 -21.624083 -21.055426
4496742 -2.256139 31.335827
3440879 -22.36278 8.633274
1332595 -21.624083 -21.055426
4323271 -39.122993 23.40523
3211512 13.2210455 -0.03311103
4013667 -36.3144 -13.366578
688381 13.221218 -0.033169657
4029345 -3.8667226 -34.218033
1736958 -22.36278 8.633274
1318625 13.221218 -0.03311134
3735812 13.22107 -0.033111006
4347244 -3.8667226 -34.218033
2261256 -22.36278 8.633274
3073657 -22.36278 8.633274
1913200 13.2210455 -0.033111025
295179 13.219933 -0.033103917
4463683 -3.8667226 -34.218033
