Cluster	Id
0	3833861
1	3126860
0	1048585
2	5049309
2	5144587
3	5075218
2	5430420
0	2457613
4	5240396
0	720911
-1	3669924
0	4587544
-1	3535884
2	1769497
2	207220
2	1643842
2	4456474
4	5297191
0	5200930
2	1572891
0	4910575
-1	1474281
2	4784176
2	229538
-1	3116182
2	1703988
-1	4275286
1	5173345
0	884790
2	5488129
0	1179703
-1	3023510
0	3801159
2	3561923
2	720974
0	4298092
-1	5451961
2	1704017
-1	5240265
-1	2374620
0	1736789
2	2278002
-1	3473494
2	2802033
2	297721
2	1712633
2	4938382
2	1686363
0	1281530
0	5505116
2	786229
2	3309664
0	2422996
-1	4727802
2	327776
2	5432536
1	2324099
0	720994
-1	899875
2	3506276
2	595653
0	5140423
2	4423781
0	5316722
3	3919030
0	1867877
1	1434989
0	3965029
0	2621542
1	1464420
0	4063335
-1	3825128
0	2883691
3	1637124
1	4817004
3	2755985
3	945630
0	5352730
2	1474677
2	3484667
2	5336753
0	786551
-1	4833000
0	98423
-1	4808418
1	3506303
2	1251910
0	4567197
0	3440770
2	4421707
2	262275
2	5341649
0	3993808
0	4751494
2	1612100
2	2424967
3	4677792
1	3223738
2	5243019
-1	4426406
0	5476151
0	5374092
2	2325255
2	98451
-1	4317061
2	403950
0	1147031
-1	4747437
0	3014817
3	3787278
0	2659491
0	3473576
4	5354590
0	4391082
2	1944941
-1	3801261
2	3656873
0	4546425
0	4772383
0	2177144
4	5179534
0	175212
2	65713
-1	2209493
2	326725
2	4063411
-1	2470634
1	3703836
2	557236
-1	912040
0	780332
2	852151
2	3363685
2	3803891
2	4915384
-1	414933
1	1326574
3	2523319
0	1536505
0	2183333
-1	861127
-1	5493564
0	753851
1	759152
1	2457790
2	1461888
4	2262144
0	1810534
2	4980928
0	2699746
3	2355413
2	1638600
2	4519362
-1	2946055
1	360654
-1	3690248
0	1077699
-1	108456
2	2588879
-1	4866297
0	905115
2	3932366
0	4755337
1	251581
0	1966290
1	113907
0	3506388
-1	3324318
-1	4882645
2	4716309
-1	5129898
-1	5100238
0	557268
-1	1500551
0	2851032
4	3397736
0	4325593
2	133534
2	5013720
1	4387641
1	4037484
0	3768539
2	1165388
4	32987
0	2100774
2	3425315
-1	1284191
0	4205095
0	4996816
2	2031838
0	5300781
2	2271174
2	3375327
2	3630911
-1	1571266
0	5177571
-1	850208
2	3309796
2	1792113
-1	857229
2	1147116
3	640980
-1	4496742
2	3440879
3	1332595
-1	4323271
0	3211512
-1	4013667
0	688381
1	4029345
2	1736958
0	1318625
0	3735812
1	4347244
2	2261256
2	3073657
0	1913200
0	295179
1	4463683
0	4096274
2	4482016
1	1769747
0	1492579
2	5243889
1	3237177
0	4129052
-1	4453289
2	3178783
0	1001935
3	3959104
2	4489505
1	1375813
0	1853662
0	2916641
2	5495393
0	4555045
2	4262922
2	1212716
-1	5398326
-1	1962217
0	5112110
-1	2730279
0	5308731
2	311582
2	917820
0	796827
3	1848621
0	98621
1	5392470
0	2097470
2	1442112
1	5352723
2	1080899
0	3244359
1	4552459
0	1638734
3	1704274
3	2207796
2	2198228
2	1091304
3	660132
0	4817240
4	3336353
2	721241
0	5410614
-1	4596920
0	2687324
2	2346681
3	2097501
2	3867984
2	510094
0	1405617
0	5139787
0	5112159
2	4055008
0	3080548
-1	3442574
0	4424038
-1	1200064
0	5407079
2	782455
1	655721
2	431361
2	394867
2	1424692
2	4489578
0	4504673
-1	4364759
2	4260210
0	2923565
1	131444
0	5282547
-1	1523451
0	2128890
0	4456822
2	5177189
0	4325755
-1	3676373
-1	4948354
0	5163182
0	2129251
0	4094980
0	1580944
0	4099301
-1	4791534
0	2820501
-1	4864590
1	3223026
0	557449
-1	4225992
-1	5505422
1	2078211
1	3075082
2	5101829
0	5350268
2	4136581
0	2875970
2	3908182
0	3280929
2	2851215
-1	1512844
-1	4655775
-1	98703
0	3547578
2	3200416
2	1561445
2	2176392
1	451221
0	5265612
0	5490872
2	3860102
2	1118139
0	2490770
-1	2095696
2	950676
3	5234920
1	5362860
1	2883996
1	758373
1	225215
0	4046454
3	4981150
1	4756400
3	817265
1	671790
0	164259
2	688552
3	5042485
3	1772838
2	1376687
2	1944209
2	3801522
1	3120494
2	3922520
0	3637686
0	1409464
1	1796594
-1	3670456
2	4347375
2	1723903
2	245139
0	4346920
2	786967
2	1447818
0	4860649
0	4483366
0	2392508
-1	1223786
0	2884028
2	2522623
0	3408322
4	2154657
-1	4817351
-1	2015368
0	4635235
-1	4076051
1	373456
2	4742322
-1	3950492
1	4679196
0	3638650
0	3077967
0	833177
-1	3730737
2	5318269
0	5289045
0	691702
1	4791653
0	1647956
0	558720
0	4921043
0	4653512
2	5158032
0	3604938
2	1245642
1	3651316
0	4863019
0	2490832
2	189314
-1	685526
2	3736028
2	2957205
2	3180172
3	4358623
-1	2644605
1	4549205
-1	2265748
0	1307484
0	2589159
0	5013999
1	609596
0	1180144
1	467774
0	1802747
2	1731121
0	4555265
-1	1037866
2	4358659
0	1395551
1	3658454
0	4194827
-1	5376285
1	2163217
2	921668
2	1723429
0	2653793
0	3441171
2	1964206
2	98837
0	3916994
-1	1787248
-1	5336303
2	4260383
-1	2093429
0	2601158
0	4653609
-1	3310276
3	5276202
0	4478322
2	743115
2	3464432
2	131700
0	1016362
1	3033305
0	3506736
-1	1517521
2	1212985
1	1499270
2	2196027
2	5306026
-1	2871035
2	2032201
2	5423889
0	4179090
2	1606219
2	3523821
-1	4263753
3	4260427
2	1336841
0	83261
0	5359957
0	4671671
2	655949
-1	296483
0	1728836
0	1540692
1	3674077
2	787031
4	4054861
-1	1414293
0	393817
-1	4688621
3	2097754
0	1313694
-1	5072080
0	5170228
-1	4093875
-1	3244652
3	2281834
-1	4234104
-1	3292007
-1	5039522
3	4139774
0	3474030
0	3670642
-1	2832283
2	2473408
0	5505657
3	316467
0	2032252
-1	5504101
0	66176
-1	2830260
2	1475205
1	3726819
0	3609307
2	33414
4	1420628
0	4298689
0	2982537
-1	2502487
0	5505676
2	3480461
0	1344141
-1	2433304
2	2884245
0	401075
2	1737366
-1	3894257
0	1591539
0	1868438
2	5182154
2	2949784
0	2766550
-1	2687649
0	106631
3	4956490
-1	2693650
0	3001557
1	4812351
0	66212
-1	2904644
0	4719269
3	2023041
0	393896
2	1897314
2	4948648
0	2954493
-1	2073957
0	4850346
-1	2731944
2	1082034
2	1715425
2	661780
2	3834550
-1	497880
0	3323540
0	197305
1	2653702
0	3932858
1	4776762
2	2097854
0	2364225
-1	4147080
2	596748
0	4000738
2	5254652
0	1696691
2	3563168
0	4712757
0	4634990
2	2618320
-1	1802951
-1	1874590
0	4391629
3	301190
1	2294484
2	2245123
3	4433359
1	817157
3	2982613
2	1364518
0	2832981
2	3728363
0	59854
2	2065109
2	2341528
1	724118
4	1049305
1	358179
2	2975407
0	676499
0	3973106
0	2954110
1	4588251
0	2464269
-1	2268504
0	1770210
1	197399
0	1409764
-1	5008036
0	1573606
-1	3825320
2	1442537
-1	2999367
0	4904547
2	3506923
1	875324
0	510499
0	4817645
2	3231773
-1	3212014
0	4473271
2	4593241
1	1408827
2	5406147
2	878877
2	4176119
0	5079792
-1	2358652
0	1540852
2	965735
2	3244789
0	639914
2	3654408
0	2491128
2	3568545
0	1311480
3	4744889
0	3638025
2	3474185
4	2172998
1	258243
2	3179276
-1	3562364
2	1536959
0	2851606
-1	4941570
2	2150042
2	4176460
4	2458390
0	3807924
3	3399089
1	1209767
0	2433633
0	1442585
2	1168500
2	2032406
1	1673564
3	3507760
2	4915994
0	3515811
-1	1547751
0	5407516
-1	519825
-1	2360111
-1	2374763
-1	2074203
2	230195
-1	4495120
0	721721
3	3165449
2	3441468
2	398461
-1	5384287
2	1246013
-1	4775727
0	2130759
0	3474248
2	556516
2	787276
0	744836
1	5018333
0	5047116
2	2094871
0	2261850
4	1062307
0	1344350
-1	421697
0	4719456
-1	4481535
2	5276514
0	1862678
4	850998
0	3638116
1	497571
0	754536
2	2170058
0	1704811
2	3769198
0	5335204
-1	1306913
2	3441518
0	1463614
-1	4744863
