,Cluster Coefficient,Gamma,Node Degree
6,0.13626834381551362,0.9168474688334782,54
5,1.0,1.0,3
10,0.4444444444444444,0.8907446791181316,9
4,0.10008779631255488,0.9259686015343348,68
32,0.26666666666666666,0.43217838846954226,6
7,0.027636159066136916,0.8963027979651554,239
35,0.0034187221773363118,0.84650098271041,795
114,0.19444444444444445,0.8226151056016845,9
77,0.14130434782608695,0.8593806135934796,24
173,0.16666666666666666,0.5,4
258,0.0,0.0,2
268,0.06666666666666667,0.5,6
219,0.08695652173913043,0.7870183728825358,23
198,0.054901960784313725,0.7598469860448095,51
1,0.049976955870491994,0.9464634830377106,264
664,0.07665505226480836,0.8,42
937,0.05263157894736842,0.821852856602347,57
384,0.1282051282051282,0.6666666666666666,13
521,0.18181818181818182,0.6666666666666666,11
280,0.047593865679534636,0.8309534824697085,62
687,0.040726817042606514,0.7198065227099538,57
1386,0.05551919720767888,0.933492351131811,192
537,0.10480769230769231,0.9285758701384026,65
1317,0.09132231404958678,0.9448582255890549,121
1566,0.0695970695970696,0.9249551649585386,105
149,0.1166429587482219,0.8627326381487849,38
2034,0.12681159420289856,0.8835299316353962,24
2455,0.12087912087912088,0.7745929030871997,14
1383,0.09156429156429156,0.9353727924348185,111
425,0.2927927927927928,0.9601205057105745,37
1810,0.022893458566064426,0.9266114191546477,439
2028,0.03263803680981595,0.9359479937043697,326
1363,0.09543859649122807,0.9112390954784474,76
1018,0.04478897502153316,0.9302370209940295,216
1832,0.13170647282796816,0.9571772925662063,108
1624,0.030303030303030304,0.0,12
550,0.19158200290275762,0.9494242116290387,53
1331,0.31666666666666665,0.8986357531822883,16
2642,0.02145178312069632,0.9298711903538784,438
856,0.16339869281045752,0.8488308515906836,18
2188,0.07142857142857142,0.7083333333333334,21
2187,0.17094017094017094,0.8845142786422417,27
1752,0.07971014492753623,0.8412955020468487,24
3810,0.37777777777777777,0.8680665431329371,10
3129,0.007723160948967401,0.7270770696083326,217
2244,0.07792207792207792,0.8141332801842383,22
135,0.08207282913165266,0.9338218700611821,120
13,0.04355574875027168,0.9301940190841756,215
2067,0.05106339779706614,0.9330626022916481,199
1318,0.12682926829268293,0.8960521017623109,41
4385,0.11967418546365914,0.9172568428787387,57
2524,0.14453781512605043,0.9029168905274335,35
3988,0.06326811793882613,0.9463508509591864,191
1352,0.07093223254213966,0.9444032218146882,171
96,0.10220673635307782,0.8630038050754064,42
2,0.10935143288084465,0.8955335357893414,52
21,0.10582010582010581,0.8505599657075429,28
20,0.37777777777777777,0.9042359824301428,10
61,0.3090909090909091,0.8318971038357313,11
54,0.5238095238095238,0.893761042023692,7
132,0.11942959001782531,0.8448622180746503,34
3,0.1619047619047619,0.8609244979651041,21
142,0.23636363636363636,0.7852173175123025,11
146,0.06666666666666667,0.6103477773171648,16
110,0.29523809523809524,0.8766999315038705,15
166,0.15384615384615385,0.6761347439498763,14
156,0.42857142857142855,0.8613463303302439,8
39,0.1396011396011396,0.8676998989010164,27
60,0.04684684684684685,0.809474602915409,75
62,0.09502262443438914,0.8785421062868825,52
455,0.08888888888888889,0.43217838846954226,10
401,0.03571428571428571,0.5,8
632,0.06719367588932806,0.6872193466469085,23
658,0.13333333333333333,0.6951941016011038,6
516,0.2,0.6951941016011038,5
651,0.044444444444444446,0.6951941016011038,10
167,0.27472527472527475,0.8959881211234993,14
758,0.0,0.0,1
744,0.3333333333333333,0.6951941016011038,4
634,0.04504504504504504,0.6571583246656381,37
732,0.02834008097165992,0.6857142857142857,39
523,0.028846153846153848,0.6910267801892513,65
779,0.3333333333333333,0.8955726312111614,12
654,0.06666666666666667,0.6975403169339026,16
832,0.024484536082474227,0.7674486691419677,97
202,0.03383366141732284,0.8630479871533239,128
204,0.06951871657754011,0.7719859749229563,34
223,0.36363636363636365,0.9048214888860149,11
245,0.3090909090909091,0.9404054217273484,11
178,0.08846153846153847,0.850948605804807,40
23,0.08374384236453201,0.7765201354195056,29
3397,0.16666666666666666,0.75,9
41,0.06434418427565201,0.9207150517405563,103
4590,0.09523809523809523,0.6951941016011038,7
115,0.16260162601626016,0.9362179417333591,42
5606,0.3238095238095238,0.9284479880015828,15
3722,0.10183042289080581,0.9387181668008121,98
5929,1.0,0.5,2
15,0.08088235294117647,0.5958406946824614,17
34,1.0,1.0,3
17,0.13054187192118227,0.8404046739045294,29
31,1.0,0.5,2
8,1.0,1.0,3
47,1.0,0.5,2
56,0.5714285714285714,0.9151804759758841,7
71,0.0,0.0,1
74,0.0,0.0,1
78,0.28888888888888886,0.8342933998568214,10
68,0.6,1.0,5
81,0.16666666666666666,0.875,9
101,0.05555555555555555,0.6951941016011038,9
119,0.16666666666666666,0.5,4
100,0.2727272727272727,0.8480555001919149,12
76,1.0,1.0,3
111,0.3333333333333333,0.7938476324197765,6
138,1.0,0.5,2
145,0.0,0.0,1
