,Cluster Coefficient,Gamma,Node Degree
3833861,0.0,0.0,1
3126860,0.0,0.0,3
1048585,0.0,0.0,1
5049309,0.0,0.0,2
5144587,0.0,0.0,2
5075218,0.0,0.0,4
5430420,0.0,0.0,2
2457613,0.0,0.0,1
5240396,0.0,0.0,5
720911,0.0,0.0,1
3669924,0.0,0.0,11
4587544,0.0,0.0,1
3535884,0.0,0.0,123
1769497,0.0,0.0,2
207220,0.0,0.0,2
1643842,0.0,0.0,2
4456474,0.0,0.0,2
5297191,0.0,0.0,5
5200930,0.0,0.0,1
1572891,0.0,0.0,2
4910575,0.0,0.0,1
1474281,0.0,0.0,12
4784176,0.0,0.0,2
229538,0.0,0.0,2
3116182,0.0,0.0,6
1703988,0.0,0.0,2
4275286,0.0,0.0,14
5173345,0.0,0.0,3
884790,0.0,0.0,1
5488129,0.0,0.0,2
1179703,0.0,0.0,1
3023510,0.0,0.0,14
3801159,0.0,0.0,1
3561923,0.0,0.0,2
720974,0.0,0.0,2
4298092,0.0,0.0,1
5451961,0.0,0.0,9
1704017,0.0,0.0,2
5240265,0.0,0.0,13
2374620,0.0,0.0,7
1736789,0.0,0.0,1
2278002,0.0,0.0,2
3473494,0.0,0.0,6
2802033,0.0,0.0,2
297721,0.0,0.0,2
1712633,0.0,0.0,2
4938382,0.0,0.0,2
1686363,0.0,0.0,2
1281530,0.0,0.0,1
5505116,0.0,0.0,1
786229,0.0,0.0,2
3309664,0.0,0.0,2
2422996,0.0,0.0,1
4727802,0.0,0.0,9
327776,0.0,0.0,2
5432536,0.0,0.0,2
2324099,0.0,0.0,3
720994,0.0,0.0,1
899875,0.0,0.0,33
3506276,0.0,0.0,2
595653,0.0,0.0,2
5140423,0.0,0.0,1
4423781,0.0,0.0,2
5316722,0.0,0.0,1
3919030,0.0,0.0,4
1867877,0.0,0.0,1
1434989,0.0,0.0,3
3965029,0.0,0.0,1
2621542,0.0,0.0,1
1464420,0.0,0.0,3
4063335,0.0,0.0,1
3825128,0.0,0.0,19
2883691,0.0,0.0,1
1637124,0.0,0.0,4
4817004,0.0,0.0,3
2755985,0.0,0.0,4
945630,0.0,0.0,4
5352730,0.0,0.0,1
1474677,0.0,0.0,2
3484667,0.0,0.0,2
5336753,0.0,0.0,2
786551,0.0,0.0,1
4833000,0.0,0.0,6
98423,0.0,0.0,1
4808418,0.0,0.0,29
3506303,0.0,0.0,3
1251910,0.0,0.0,2
4567197,0.0,0.0,1
3440770,0.0,0.0,1
4421707,0.0,0.0,2
262275,0.0,0.0,2
5341649,0.0,0.0,2
3993808,0.0,0.0,1
4751494,0.0,0.0,1
1612100,0.0,0.0,2
2424967,0.0,0.0,2
4677792,0.0,0.0,4
3223738,0.0,0.0,3
